Количество;Время;Обмены;Итерации;Доп.Присваивания
;;;;
;;;;
BUBBLE;BUBBLE;BUBBLE;BUBBLE;
;;;;
;RAND;;RAND;
;;;;
1000;27;80374;575424;0
2000;124;360875;2410794;0
3000;490;2244373;8547150;0
4000;800;4204241;13776555;0
5000;956;4839221;17221555;0
6000;2124;8675586;35772037;0
7000;2504;11638400;41735037;0
8000;3061;13169270;47698037;0
9000;4864;19245201;79389178;0
10000;5708;23839232;88211178;0
11000;6662;25982208;97033178;0
12000;9834;34209315;139620364;0
13000;11566;39194314;151256364;0
14000;13862;42269938;182658952;0
15000;17599;55016447;223035130;0
16000;19960;64128058;242096868;0
17000;22451;67289664;257228868;0
18000;28048;80467460;319212265;0
19000;31903;89004721;336947265;0
20000;32737;92619347;354682265;0
21000;40610;109003262;434469310;0
22000;43748;120120863;459361119;0
23000;47334;124683253;480242119;0
24000;56080;144178384;569064288;0
25000;59102;154210094;592776288;0
26000;62182;161954476;616488288;0
27000;71682;182206820;705240879;0
28000;75441;191824330;731361879;0
29000;78613;201819288;760817764;0
30000;90385;222943826;869731008;0
31000;93856;231533674;898723008;0
32000;97340;243373275;927715008;0
33000;111087;266912841;1061115844;0
34000;115915;274129351;1093271844;0
35000;127148;292041468;1202495642;0
36000;134957;318513871;1268856753;0
37000;138967;325037254;1304103753;0
38000;151041;348343471;1413334806;0
;;;;
;NORM;;NORM;
;;;;
1000;0;0;999;0
2000;0;0;1999;0
3000;0;0;2999;0
4000;0;0;3999;0
5000;0;0;4999;0
6000;0;0;5999;0
7000;0;0;6999;0
8000;0;0;7999;0
9000;2;0;8999;0
10000;0;0;9999;0
11000;1;0;10999;0
12000;1;0;11999;0
13000;1;0;12999;0
14000;1;0;13999;0
15000;1;0;14999;0
16000;1;0;15999;0
17000;1;0;16999;0
18000;1;0;17999;0
19000;2;0;18999;0
20000;1;0;19999;0
21000;2;0;20999;0
22000;2;0;21999;0
23000;2;0;22999;0
24000;2;0;23999;0
25000;2;0;24999;0
26000;5;0;25999;0
27000;2;0;26999;0
28000;4;0;27999;0
29000;8;0;28999;0
30000;3;0;29999;0
31000;4;0;30999;0
32000;4;0;31999;0
33000;4;0;32999;0
34000;4;0;33999;0
35000;3;0;34999;0
36000;9;0;35999;0
37000;5;0;36999;0
38000;3;0;37999;0
;;;;
;REVERSE;;REVERSE;
;;;;
0;0;0;0;0
1000;56;444631;998001;0
2000;237;1822697;3996001;0
3000;540;4119449;8994001;0
4000;1029;7374309;15992001;0
5000;1603;11494637;24990001;0
6000;2417;16565444;35988001;0
7000;3386;22619368;48986001;0
8000;5051;29523132;63984001;0
9000;6433;37505132;80982001;0
10000;7799;45487132;99980001;0
11000;9677;53469132;120978001;0
12000;11955;64217084;143976001;0
13000;14945;75335084;168974001;0
14000;18316;88204665;195972001;0
15000;21155;101639555;224970001;0
16000;25013;116458555;255968001;0
17000;29333;132336785;288966001;0
18000;33352;149175234;323964001;0
19000;38113;167004852;360962001;0
20000;42760;185898109;399960001;0
21000;48592;205795109;440958001;0
22000;53357;226794101;483956001;0
23000;59004;248790339;528954001;0
24000;64949;271790899;575952001;0
25000;71119;295788202;624950001;0
